SOIL_ID,SNAM
321,DSOLMap_321
353,DSOLMap_353
401,DSOLMap_401
785,DSOLMap_785
786,DSOLMap_786
833,DSOLMap_833
837,DSOLMap_837
942,DSOLMap_942
978,DSOLMap_978
1326,DSOLMap_1326
1361,DSOLMap_1361
1362,DSOLMap_1362
1365,DSOLMap_1365
1374,DSOLMap_1374
1406,DSOLMap_1406
1409,DSOLMap_1409
1410,DSOLMap_1410
1413,DSOLMap_1413
1416,DSOLMap_1416
1445,DSOLMap_1445
1449,DSOLMap_1449
1452,DSOLMap_1452
1757,DSOLMap_1757
1761,DSOLMap_1761
1793,DSOLMap_1793
1797,DSOLMap_1797
1800,DSOLMap_1800
1841,DSOLMap_1841
1845,DSOLMap_1845
1848,DSOLMap_1848
1874,DSOLMap_1874
1877,DSOLMap_1877
1881,DSOLMap_1881
1884,DSOLMap_1884
